Centroid LON,Centroid LAT,Shelf,Sector,Fig2A,Fig2B,Fig2C,Fig3A,Fig3B,Fig3C,Fig4A,Fig4B,Fig4C,Fig5A
142.5924,-10.7796,1,1,0.136751204,0.597521957,0.508272104,33,0.64043909,0.588977673,0,0,0,0
142.7105,-10.7967,1,1,0.03946575,0.679958082,0.475020337,38.42857143,0.480264212,0.722858508,0,0,0,0
142.5736,-10.8242,1,1,0.033257338,0.657532432,0.378090289,16.85714286,0.595616629,0.385343228,1,1,0,0
142.5767,-10.8355,1,1,0.027407188,0.9714063,0.380506469,16.42857143,0.627534558,0.438418549,1,1,0,0
142.6871,-10.8199,1,1,0.051068928,0.815327731,0.475170177,41.42857143,0.59467181,0.717839386,0,0,0,0
142.7231,-10.8213,1,1,0.037725077,0.524285635,0.445546518,42.28571429,0.535928381,0.731367956,0,0,0,0
142.7605,-10.82,1,1,0.126098537,0.740168146,0.440941949,58.85714286,0.527103405,0.750937136,0,0,0,0
142.9288,-10.8079,1,1,0.023538663,0.569776323,0.401742651,31,0.669176683,0.703722964,0,0,0,0
142.9834,-10.7996,1,1,0.033106546,0.650628477,0.414857171,35.28571429,0.516047451,0.714394124,0,0,0,0
142.6935,-10.887,1,1,0.018171176,0.579729093,0.561026463,20.14285714,0.727057018,0.689885025,0,0,0,0
142.6962,-10.8897,1,1,0.021242166,0.578762632,0.582818535,21.71428571,0.699795099,0.664728994,0,0,0,0
142.7727,-10.9013,1,1,0.068176485,0.363650823,0.345622077,40.85714286,0.675694212,0.658329374,0,0,0,0
142.6314,-10.9207,1,1,0.104602145,0.85108945,0.460473253,31.14285714,0.613022095,0.601629067,0,0,0,0
143.0894,-10.7754,1,1,0.032416779,0.547971239,0.544737738,35.14285714,0.712789935,0.732153,0,0,0,0
142.597,-10.7043,1,1,0.008158214,0.450587093,0.545273337,36.71428571,0.477162967,0.714054234,0,0,0,0
142.5979,-10.7089,1,1,0.003758603,0.415203015,0.450130379,32.28571429,0.505387737,0.71042705,0,0,0,0
142.5928,-10.7163,1,1,0.027001683,0.643702446,0.386488734,41.71428571,0.488891104,0.706091491,0,0,0,0
142.6173,-10.7286,1,1,0.020266118,0.682975956,0.42035185,37.85714286,0.494517228,0.706845398,0,0,0,0
142.6226,-10.746,1,1,0.016245476,0.601092443,0.411617394,35.85714286,0.559492688,0.746236326,0,0,0,0
142.6053,-10.739,1,1,0.053933564,0.631103014,0.326092875,42.28571429,0.577613791,0.69341257,0,0,0,0
142.6245,-10.7238,1,1,0.014157912,0.443712076,0.481690416,38.85714286,0.453464493,0.706285686,0,0,0,0
142.6299,-10.7189,1,1,0.010031411,0.676371642,0.544896697,35.85714286,0.462317367,0.724904374,0,0,0,0
142.6732,-10.7008,1,1,0.014868746,0.736867971,0.33524989,37.57142857,0.41486125,0.677268597,0,0,0,0
142.6853,-10.7118,1,1,0.018627983,0.606073646,0.490220439,37.71428571,0.471769621,0.691002745,0,0,0,0
142.6909,-10.7157,1,1,0.018127841,0.85616113,0.615745448,37.85714286,0.433623056,0.684242677,0,0,0,0
142.7382,-10.68,1,1,0.030332165,0.640270427,0.427751539,42.57142857,0.506326061,0.718245181,0,0,0,0
142.7862,-10.6825,1,1,0.061182511,1.055058849,0.516734243,42.28571429,0.503835423,0.718424035,0,0,0,0
142.7311,-10.7023,1,1,0.227606371,0.695625564,0.408237438,72.57142857,0.394654357,0.709173026,0,0,0,0
142.6144,-10.7576,1,1,0.009794659,0.914790697,0.261097763,27,0.731422876,0.682639801,0,0,0,0
142.6252,-10.7707,1,1,0.0265512,0.87461961,0.259512693,35.28571429,0.591919818,0.684076596,0,0,0,0
143.8008,-10.8032,2,1,0.002390859,1.741570198,0.566028597,7,1.763191293,0.516806723,3,6,3,0
144.0061,-10.8055,3,1,1.32E-06,2.525959917,0.41024849,6,2.225691736,0.373015873,4,6,2,0
143.9974,-10.8231,3,1,0.022456594,2.645689921,0.340063816,4.857142857,1.542646358,0.365079365,4,5,1,0
143.8238,-10.8252,2,1,0.003293773,1.707447274,0.538061996,7.285714286,2.056861811,0.49825784,3,6,3,2
143.7581,-10.8462,2,1,0.018166356,0.604622576,0.361508232,16.42857143,1.329809458,0.605629035,1,2,1,1
144.0142,-10.8446,3,1,0.009437172,2.642400969,0.420997971,8.142857143,1.199970931,0.401002506,3,4,1,0
143.9838,-10.8662,3,1,0.034676045,2.64326348,0.440288874,9,1.161806455,0.422569028,3,4,1,0
142.7059,-10.9369,1,1,0.024041545,0.963010058,0.349523295,23,0.63850408,0.579809066,0,0,0,0
142.7061,-10.9476,1,1,0.040231334,0.812948129,0.409762665,23.14285714,0.604129383,0.620022627,0,0,0,0
142.7664,-10.99,1,1,0.049729879,0.649427679,0.376561591,18.42857143,0.45922191,0.605793651,0,0,0,0
143.2521,-10.6837,2,1,0.020070913,1.031424892,0.503890207,25.42857143,0.879603783,0.616548134,0,0,0,0
143.4337,-10.6971,2,1,0.019126581,0.957656705,0.306462758,19.42857143,0.727817379,0.688949508,0,0,0,0
143.4663,-10.6967,2,1,0.0100842,0.919422359,0.362145974,18,0.96864421,0.478657851,0,0,0,0
143.19,-10.7317,2,1,0.046218045,0.494715447,0.535851497,34.14285714,0.736001381,0.642344498,0,0,0,0
143.3365,-10.7348,2,1,0.017577472,0.815049289,0.484062703,27.28571429,0.575098579,0.658116883,0,0,0,0
143.0936,-10.7519,1,1,0.025049419,0.383569695,0.482065259,25.14285714,0.775458908,0.749523928,0,0,0,0
143.3718,-10.7523,2,1,0.009004238,1.429174663,0.510283224,12.42857143,1.24288613,0.644341921,0,0,0,0
143.324,-10.7566,2,1,0.014037353,0.91530109,0.424636387,23,0.879293409,0.651024826,0,0,0,0
143.4121,-10.7762,2,1,0.016260039,0.988643629,0.370977378,18.42857143,1.165870169,0.682426304,0,0,0,0
